State,County,Ishispanic,Ethnicity,Ndeath
Mississippi,Coahoma,Hispanic,Other,1
Mississippi,Coahoma,Hispanic,Unknown,0
Mississippi,Coahoma,Unknown,African-American,1
Mississippi,Coahoma,Unknown,White,0
Mississippi,Coahoma,Unknown,American-Indian-Alaska-Native,0
Mississippi,Coahoma,Unknown,Asian,0
Mississippi,Coahoma,Unknown,Other,0
Mississippi,Coahoma,Unknown,Unknown,0
Mississippi,Copiah,Total,NA,15
Mississippi,Copiah,Non-Hispanic,African-American,10
Mississippi,Copiah,Non-Hispanic,White,3
Mississippi,Copiah,Non-Hispanic,American-Indian-Alaska-Native,0
Mississippi,Copiah,Non-Hispanic,Asian,0
Mississippi,Copiah,Non-Hispanic,Other,0
Mississippi,Copiah,Non-Hispanic,Unknown,0
Mississippi,Copiah,Hispanic,African-American,0
Mississippi,Copiah,Hispanic,White,0
Mississippi,Copiah,Hispanic,American-Indian-Alaska-Native,0
Mississippi,Copiah,Hispanic,Asian,0
Mississippi,Copiah,Hispanic,Other,0
Mississippi,Copiah,Hispanic,Unknown,0
Mississippi,Copiah,Unknown,African-American,0
Mississippi,Copiah,Unknown,White,1
Mississippi,Copiah,Unknown,American-Indian-Alaska-Native,0
Mississippi,Copiah,Unknown,Asian,0
Mississippi,Copiah,Unknown,Other,0
Mississippi,Copiah,Unknown,Unknown,1
Mississippi,Covington,Total,NA,5
Mississippi,Covington,Non-Hispanic,African-American,1
Mississippi,Covington,Non-Hispanic,White,4
Mississippi,Covington,Non-Hispanic,American-Indian-Alaska-Native,0
Mississippi,Covington,Non-Hispanic,Asian,0
Mississippi,Covington,Non-Hispanic,Other,0
Mississippi,Covington,Non-Hispanic,Unknown,0
Mississippi,Covington,Hispanic,African-American,0
Mississippi,Covington,Hispanic,White,0
Mississippi,Covington,Hispanic,American-Indian-Alaska-Native,0
Mississippi,Covington,Hispanic,Asian,0
Mississippi,Covington,Hispanic,Other,0
Mississippi,Covington,Hispanic,Unknown,0
Mississippi,Covington,Unknown,African-American,0
Mississippi,Covington,Unknown,White,0
Mississippi,Covington,Unknown,American-Indian-Alaska-Native,0
Mississippi,Covington,Unknown,Asian,0
Mississippi,Covington,Unknown,Other,0
Mississippi,Covington,Unknown,Unknown,0
Mississippi,Desoto,Total,NA,16
Mississippi,Desoto,Non-Hispanic,African-American,5
Mississippi,Desoto,Non-Hispanic,White,7
Mississippi,Desoto,Non-Hispanic,American-Indian-Alaska-Native,0
Mississippi,Desoto,Non-Hispanic,Asian,0
Mississippi,Desoto,Non-Hispanic,Other,0
Mississippi,Desoto,Non-Hispanic,Unknown,0
Mississippi,Desoto,Hispanic,African-American,0
Mississippi,Desoto,Hispanic,White,1
Mississippi,Desoto,Hispanic,American-Indian-Alaska-Native,0
Mississippi,Desoto,Hispanic,Asian,0
Mississippi,Desoto,Hispanic,Other,0
Mississippi,Desoto,Hispanic,Unknown,0
Mississippi,Desoto,Unknown,African-American,2
Mississippi,Desoto,Unknown,White,1
Mississippi,Desoto,Unknown,American-Indian-Alaska-Native,0
Mississippi,Desoto,Unknown,Asian,0
Mississippi,Desoto,Unknown,Other,0
Mississippi,Desoto,Unknown,Unknown,0
Mississippi,Forrest,Total,NA,42
Mississippi,Forrest,Non-Hispanic,African-American,18
Mississippi,Forrest,Non-Hispanic,White,22
Mississippi,Forrest,Non-Hispanic,American-Indian-Alaska-Native,0
Mississippi,Forrest,Non-Hispanic,Asian,0
Mississippi,Forrest,Non-Hispanic,Other,0
Mississippi,Forrest,Non-Hispanic,Unknown,0
Mississippi,Forrest,Hispanic,African-American,0
Mississippi,Forrest,Hispanic,White,1
Mississippi,Forrest,Hispanic,American-Indian-Alaska-Native,0
Mississippi,Forrest,Hispanic,Asian,0
Mississippi,Forrest,Hispanic,Other,1
Mississippi,Forrest,Hispanic,Unknown,0
Mississippi,Forrest,Unknown,African-American,0
Mississippi,Forrest,Unknown,White,0
Mississippi,Forrest,Unknown,American-Indian-Alaska-Native,0
Mississippi,Forrest,Unknown,Asian,0
Mississippi,Forrest,Unknown,Other,0
Mississippi,Forrest,Unknown,Unknown,0
Mississippi,Franklin,Total,NA,2
Mississippi,Franklin,Non-Hispanic,African-American,1
Mississippi,Franklin,Non-Hispanic,White,1
Mississippi,Franklin,Non-Hispanic,American-Indian-Alaska-Native,0
Mississippi,Franklin,Non-Hispanic,Asian,0
Mississippi,Franklin,Non-Hispanic,Other,0
Mississippi,Franklin,Non-Hispanic,Unknown,0
Mississippi,Franklin,Hispanic,African-American,0
Mississippi,Franklin,Hispanic,White,0
Mississippi,Franklin,Hispanic,American-Indian-Alaska-Native,0
Mississippi,Franklin,Hispanic,Asian,0
Mississippi,Franklin,Hispanic,Other,0
Mississippi,Franklin,Hispanic,Unknown,0
Mississippi,Franklin,Unknown,African-American,0
Mississippi,Franklin,Unknown,White,0
Mississippi,Franklin,Unknown,American-Indian-Alaska-Native,0
Mississippi,Franklin,Unknown,Asian,0
Mississippi,Franklin,Unknown,Other,0
Mississippi,Franklin,Unknown,Unknown,0
Mississippi,George,Total,NA,3
Mississippi,George,Non-Hispanic,African-American,1
Mississippi,George,Non-Hispanic,White,1
Mississippi,George,Non-Hispanic,American-Indian-Alaska-Native,0
Mississippi,George,Non-Hispanic,Asian,0
Mississippi,George,Non-Hispanic,Other,0
Mississippi,George,Non-Hispanic,Unknown,0
Mississippi,George,Hispanic,African-American,0
Mississippi,George,Hispanic,White,1
Mississippi,George,Hispanic,American-Indian-Alaska-Native,0
Mississippi,George,Hispanic,Asian,0
Mississippi,George,Hispanic,Other,0
Mississippi,George,Hispanic,Unknown,0
Mississippi,George,Unknown,African-American,0
Mississippi,George,Unknown,White,0
Mississippi,George,Unknown,American-Indian-Alaska-Native,0
Mississippi,George,Unknown,Asian,0
Mississippi,George,Unknown,Other,0
Mississippi,George,Unknown,Unknown,0
Mississippi,Greene,Total,NA,7
Mississippi,Greene,Non-Hispanic,African-American,2
Mississippi,Greene,Non-Hispanic,White,4
Mississippi,Greene,Non-Hispanic,American-Indian-Alaska-Native,0
Mississippi,Greene,Non-Hispanic,Asian,0
Mississippi,Greene,Non-Hispanic,Other,0
Mississippi,Greene,Non-Hispanic,Unknown,0
Mississippi,Greene,Hispanic,African-American,0
Mississippi,Greene,Hispanic,White,0
Mississippi,Greene,Hispanic,American-Indian-Alaska-Native,0
Mississippi,Greene,Hispanic,Asian,0
Mississippi,Greene,Hispanic,Other,0
